,T,,,,,,,,,,,
L,,-0.999970899,-0.597613633,0.00875,0.01555,0.0249,0.0513,0.072953335,0.61,0.703449686,0.999999,1
,-0.925243168,0.083827364,0.056621797,0.045469621,0.045468047,0.045469833,0.045499587,0.045551279,0.055773574,0.059829212,0.08036733,0.080367426
,-0.783,0.082328911,0.055702561,0.044768871,0.044767319,0.044769061,0.044798218,0.044848899,0.054869618,0.058842565,0.078940339,0.078940432
,-0.706464167,0.081535527,0.055215128,0.044397015,0.044395475,0.044397194,0.044426035,0.04447618,0.054390275,0.058319509,0.078184709,0.078184801
,-0.682,0.081283802,0.055060369,0.04427891,0.044277374,0.044279086,0.044307827,0.044357802,0.054238083,0.058153457,0.07794495,0.077945042
,-0.653622281,0.080992937,0.054881484,0.04414237,0.044140838,0.044142541,0.044171166,0.044220946,0.054062164,0.05796153,0.077667906,0.077667997
,-0.625457487,0.080705449,0.054704608,0.044007337,0.044005809,0.044007504,0.044036015,0.0440856,0.05388822,0.057771769,0.07739407,0.077394161
,-0.613236886,0.080581078,0.054628067,0.043948895,0.04394737,0.043949061,0.043977522,0.044027024,0.053812948,0.057689657,0.077275602,0.077275693
,-0.603133332,0.08047842,0.054564881,0.043900646,0.043899122,0.04390081,0.043929231,0.043978664,0.053750808,0.057621871,0.077177817,0.077177907
,-0.602394846,0.080470923,0.054560266,0.043897122,0.043895598,0.043897286,0.043925704,0.043975132,0.053746269,0.057616921,0.077170675,0.077170766
,-0.598083367,0.080427167,0.054533331,0.043876553,0.04387503,0.043876717,0.043905117,0.043954515,0.053719781,0.057588026,0.077128995,0.077129086
,-0.598073831,0.08042707,0.054533271,0.043876508,0.043874985,0.043876671,0.043905072,0.04395447,0.053719722,0.057587962,0.077128903,0.077128994
,-0.587557091,0.080320454,0.054467635,0.043826383,0.043824862,0.043826545,0.043854903,0.043904229,0.053655173,0.057517551,0.077027346,0.077027436
,-0.552276218,0.079963984,0.054248111,0.043658713,0.043657197,0.043658869,0.043687086,0.043736172,0.053439284,0.057282071,0.07668778,0.07668787
,-0.53214768,0.079761432,0.054123328,0.043563386,0.043561873,0.04356354,0.043591676,0.043640626,0.053316567,0.057148225,0.076494828,0.076494918
,-0.497155304,0.079410724,0.053907192,0.043398241,0.043396734,0.043398391,0.043426387,0.043475101,0.053104007,0.056916405,0.076160733,0.076160822
,-0.450688217,0.078947774,0.053621727,0.043180064,0.043178564,0.043180207,0.04320802,0.043256422,0.052823264,0.056610252,0.075719696,0.075719784
,-0.4,0.078446338,0.053312329,0.042943518,0.042942026,0.042943654,0.042971268,0.043019333,0.05251898,0.056278466,0.075241971,0.075242059
,-0.2,0.076503575,0.052111597,0.042024744,0.042023282,0.042024854,0.042051698,0.042098456,0.051338061,0.054991181,0.073390851,0.073390936
,0,0.074616449,0.050942148,0.041128714,0.04112728,0.041128798,0.041154895,0.041200386,0.050187859,0.053737956,0.071592395,0.071592478
,0.2,0.072783153,0.049803059,0.040254788,0.040253383,0.040254848,0.040280222,0.040324483,0.049067468,0.052517769,0.069844905,0.069844985
,0.4,0.071001947,0.048693435,0.039402347,0.039400971,0.039402385,0.039427057,0.039470126,0.047976011,0.05132963,0.068146742,0.06814682
,0.6,0.069271151,0.047612411,0.038570793,0.038569444,0.038570809,0.0385948,0.038636712,0.046912641,0.050172586,0.066496328,0.066496403
,0.8,0.067589147,0.046559151,0.037759545,0.037758222,0.03775954,0.037782871,0.03782366,0.045876537,0.049045712,0.064892138,0.064892211
,1,0.065954374,0.045532846,0.03696804,0.036966743,0.036968015,0.036990706,0.037030405,0.044866907,0.047948117,0.063332706,0.063332777
